,us_house_price_idx,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_delinquency_rate,us_cpi,us_unemployment,us_sp500_close,us_sp500_log_ret
1968-12-31,,101.3787,5202.212,4.9578561546840705,6.03,6.46,-0.4299999999999997,,,,,840.074,3.2804641310267835,8.652082702818742,38.0233,,,,4.705882352941182,3.4,103.86000061035156,0.01152390081634469
1969-03-31,,101.0298,5283.597,4.469434131486105,6.3,6.27,0.03000000000000025,,,,,848.987,1.0609779614652926,9.710496832044747,38.8,,,,5.247813411078739,3.4,101.51000213623047,-0.022886507451977105
1969-06-30,,100.2377,5299.625,3.064780019887059,6.57,7.58,-1.0099999999999998,,,,,875.953,3.176255937959005,9.751629761327507,38.8874,,,,5.475504322766556,3.5,97.70999908447266,-0.03815343825446284
1969-09-30,,99.58659,5334.6,2.947610114439625,7.16,8.01,-0.8499999999999996,,,,,891.625,1.7891370884054236,9.618252476361322,39.1737,,,,5.698005698005693,3.7,93.12000274658203,-0.048114885108199744
1969-12-31,,98.85007,5308.556,2.0442073487201062,7.65,8.32,-0.6699999999999999,,,,,915.449,2.6719753259498047,8.972423857898226,38.7116,,,,5.89887640449438,3.5,92.05999755859375,-0.011448501608843193
1970-03-31,55.7473319735971,97.94125,5300.652,0.3227914619529093,7.07,6.9,0.16999999999999993,,,,,920.172,0.5159216952555612,8.384698470059027,37.9205,,,,6.094182825484751,4.4,89.62999725341797,-0.026750457143653435
1970-06-30,55.5463162444915,97.54119,5308.164,0.1611246078731865,7.84,7.4,0.4399999999999995,,,,,943.967,2.585929587077196,7.764571843466483,37.6567,,,,6.010928961748618,4.9,72.72000122070312,-0.2090735880701428
1970-09-30,56.0448949291585,97.69106,5357.077,0.42134368087578533,7.39,6.58,0.8099999999999996,,,,,960.905,1.7943423869690278,7.770082714145521,37.4221,,,,5.660377358490565,5.4,84.30000305175781,0.1477654345533995
1970-12-31,56.2989585314487,98.67099,5299.672,-0.16735247777361906,6.39,4.94,1.4499999999999993,,,,,981.085,2.100103548217569,7.169815030657101,37.2885,,,,5.570291777188308,6.1,92.1500015258789,0.08903579946550517
1971-03-31,56.8460170635473,99.93185,5443.619,2.697158764619889,5.7,3.92,1.7800000000000002,,,,,994.486,1.3659366925393712,8.076098816308242,37.4631,,,,4.438642297650142,6.0,100.30999755859375,0.08484766588230612
1971-06-30,57.7498345998532,100.2935,5473.059,3.1064413232145816,6.52,6.24,0.27999999999999936,,,,,1025.346,3.1031105515814117,8.620958147901359,38.0234,,,,4.381443298969079,5.9,98.69999694824219,-0.016180451036877357
1971-09-30,57.9527932184827,100.4097,5518.072,3.005276944871249,6.14,5.27,0.8700000000000001,,,,,1049.77,2.382025189545778,9.248052617064118,38.3056,,,,4.081632653061207,6.0,98.33999633789062,-0.003654090775376355
1971-12-31,59.2866231490447,101.2538,5531.032,4.365553188952087,5.93,4.46,1.4699999999999998,,,,,1077.712,2.6617259018642203,9.848993716140807,39.2035,,,,3.266331658291466,6.0,102.08999633789062,0.037423916565014495
1972-03-31,58.4104579757008,102.2781,5632.649,3.4725060662768703,6.07,5.11,0.96,,,,,1099.111,1.985595409534291,10.520510092650891,40.8263,,,,3.499999999999992,5.8,107.19999694824219,0.048841478859269566
1972-06-30,59.6903773837502,102.7756,5760.47,5.251377703035898,6.11,5.15,0.96,,,,,1139.652,3.6885264545619023,11.148041734204849,41.3497,,,,2.9629629629629672,5.7,107.13999938964844,-0.0005598354127634374
1972-09-30,60.5455868705106,103.3514,5814.854,5.378364037294192,6.55,5.61,0.9399999999999995,,,,,1168.057,2.492427512960105,11.26789677738933,42.2132,,,,3.1862745098039325,5.5,110.55000305175781,0.0313315501526338
1972-12-31,61.6436165514419,103.8092,5912.22,6.891806086097496,6.36,5.68,0.6800000000000006,,,,,1210.643,3.6458837197157257,12.334556913164185,43.7367,,,,3.406326034063256,5.2,118.05000305175781,0.06564035447424033
1973-03-31,63.164662872361,103.4277,6058.544,7.561184799549903,6.71,7.09,-0.3799999999999999,,,,,1246.838,2.989733554813423,13.440589712958918,44.7045,,,,4.8309178743961345,4.9,111.5199966430664,-0.05690437247233696
1973-06-30,63.3757573953064,102.2888,6124.506,6.319553786409782,6.9,7.74,-0.8399999999999999,,,,,1295.54,3.9060407206068515,13.678561525799093,45.0035,,,,5.995203836930463,4.9,104.26000213623047,-0.0673161170811714
1973-09-30,64.076727803121,101.3248,6092.301,4.7713493752379765,7.09,7.5,-0.41000000000000014,,,,,1336.394,3.1534340892600765,14.411711072319244,45.4624,,,,7.3634204275534465,4.8,108.43000030517578,0.03921700646917272
1973-12-31,64.4010049999491,100.6848,6150.131,4.024055261813664,6.74,7.3,-0.5599999999999996,,,,,1373.126,2.7485906102541646,13.42121500723168,45.923,,,,8.94117647058823,4.9,97.55000305175781,-0.1057397079454296
1974-03-31,63.6766084864611,99.89592,6097.258,0.6389984128199799,7.21,8.36,-1.1499999999999995,,,,,1399.728,1.9373313155529814,12.262218507937694,45.4777,,,,10.138248847926267,5.1,93.9800033569336,-0.03728306895882833
1974-06-30,62.9790661110586,98.59726,6111.751,-0.20826169490241186,7.54,8.87,-1.3299999999999992,,,,,1452.27,3.7537292959775037,12.097658119394229,45.6238,,,,10.859728506787313,5.4,86.0,-0.08873473314082078
1974-09-30,63.2324337663339,96.94707,6053.978,-0.6290398324048763,8.04,8.21,-0.1700000000000017,,,,,1490.429,2.6275417105634746,11.526166684376026,45.2365,,,,11.946902654867241,5.9,63.540000915527344,-0.30267765300346067
1974-12-31,62.2846608282658,95.6399,6030.464,-1.9457634317057715,7.43,7.35,0.08000000000000007,,,,,1523.934,2.2480104721526395,10.982823134949005,42.0533,,,,12.095032397408211,7.2,68.55999755859375,0.07603959542970058
1975-03-31,62.4130921104947,95.924,5957.035,-2.2997714710448536,7.73,6.36,1.37,,,,,1531.672,0.5077647719651912,9.426402843981109,40.0638,,,,10.460251046025103,8.6,83.36000061035156,0.19545934664718498
1975-06-30,62.4396280789175,97.31956,5999.61,-1.8348424207727088,7.86,6.85,1.0100000000000007,,,,,1556.872,1.6452608652505196,7.202655153656012,40.2772,,,,9.183673469387754,8.8,95.19000244140625,0.13270633458399872
1975-09-30,61.170192832849,98.72061,6102.326,0.7986153897486803,8.43,7.83,0.5999999999999996,,,,,1581.501,1.5819540720110492,6.110455446049423,41.6304,,,,7.905138339920947,8.4,83.87000274658203,-0.126606906166525
1975-12-31,61.3393469960194,99.93874,6184.53,2.5547951202428143,8.0,6.16,1.8399999999999999,,,,,1615.051,2.121402389249205,5.979064710151483,42.4414,,,,7.129094412331405,8.2,90.19000244140625,0.07265056950279936
1976-03-31,61.3799723569383,100.8818,6323.649,6.154303273356643,7.73,6.11,1.62,,,,,1635.133,1.2434282261055696,6.754775173797012,43.5168,,,,6.060606060606055,7.6,102.7699966430664,0.13057486572524707
1976-06-30,62.4032642108448,101.0879,6370.025,6.173984642335095,7.86,6.46,1.4000000000000004,,,,,1682.642,2.905512884884587,8.07837767009747,43.9637,,,,5.981308411214958,7.6,104.27999877929688,0.014586128386834344
1976-09-30,62.402996501655,101.0255,6404.895,4.95825690072933,7.59,5.78,1.8099999999999996,,,,,1723.078,2.4031255608738977,8.95206515835274,44.6721,,,,5.494505494505497,7.6,105.23999786376953,0.009163858514149591
1976-12-31,62.7119864954673,101.3069,6451.177,4.311515992322779,6.87,4.86,2.01,,,,,1773.575,2.9306276326434455,9.815417593623987,45.8294,,,,5.035971223021574,7.8,107.45999908447266,0.020875240907535265
1977-03-31,63.0567532511507,101.8432,6527.703,3.2268394403294653,7.46,5.4,2.0599999999999996,,,,,1816.288,2.4082996208223406,11.078915293129054,46.8185,,,,6.428571428571428,7.4,98.41999816894531,-0.08787465994763773
1977-06-30,64.1786673371641,101.9878,6654.466,4.465304296293993,7.28,5.72,1.5600000000000005,,,,,1886.176,3.847847918391789,12.096096495867803,48.0116,,,,6.701940035273357,7.2,100.4800033569336,0.02071471929552692
1977-09-30,65.1910348499212,101.7658,6774.457,5.769993106834703,7.34,6.66,0.6799999999999997,,,,,1947.699,3.2617846902940117,13.036032031051414,48.3189,,,,6.423611111111094,6.8,96.52999877929688,-0.04010490791417913
1977-12-31,66.6031901886216,101.6733,6774.592,5.013271221670101,7.69,6.98,0.71,,,,,2020.846,3.7555597656516726,13.941953399207808,48.5629,,,,6.67808219178081,6.4,95.0999984741211,-0.01492487470833099
1978-03-31,67.3033415990865,101.8433,6796.26,4.1141118093148465,8.04,7.48,0.5599999999999987,,,,,2072.739,2.5678849353191646,14.119511883577939,49.0265,,,,6.375838926174482,6.3,89.20999908447266,-0.06393582284326763
1978-06-30,67.987880300849,102.2327,7058.92,6.077933225596155,8.46,8.38,0.08000000000000007,,,,,2163.082,4.358628848108692,14.680814515718566,50.5801,,,,7.438016528925617,5.9,95.52999877929688,0.06844719084061618
1978-09-30,69.1910769828303,102.1735,7129.915,5.247033083241948,8.42,8.81,-0.39000000000000057,,,,,2238.138,3.469863833178777,14.911903738719378,50.8744,,,,8.482871125611746,6.0,102.54000091552734,0.07081265378034496
1978-12-31,70.0734313726074,101.6317,7225.75,6.659559719611163,9.01,10.57,-1.5600000000000005,,,,,2315.825,3.471054957290387,14.596807475680972,51.909,,,,8.988764044943842,6.0,96.11000061035156,-0.06475960009829916
1979-03-31,71.5077302822835,101.0849,7238.727,6.510448393675339,9.12,10.17,-1.0500000000000007,,,,,2378.591,2.7103084214048945,14.755934056338017,52.0446,,,,10.252365930599371,5.8,101.58999633789062,0.05545169386977616
1979-06-30,71.3696505373974,100.3159,7246.454,2.6566953584967523,8.91,9.4,-0.4900000000000002,,,,,2476.7,4.1246687639867385,14.498664405695205,51.8965,,,,11.076923076923073,5.7,102.91000366210938,0.01290978637803261
1979-09-30,71.4388957316331,99.54507,7300.281,2.389453450707335,9.33,10.8,-1.4700000000000006,,,,,2566.476,3.6248233536560814,14.67014098326378,51.4597,,,,11.879699248120312,5.9,109.31999969482422,0.06042450283473112
1979-12-31,71.3689983674672,98.70916,7318.535,1.284088156938723,10.39,11.7,-1.3099999999999987,,,,,2643.895,3.0165487618041276,14.166441764813854,51.7878,,,,13.254786450662737,6.0,107.94000244140625,-0.012703818459609351
1980-03-31,70.4205074801084,97.77548,7341.557,1.420553641544986,12.75,15.8,-3.0500000000000007,,,,,2713.36,2.6273736286804183,14.074256566177223,51.87,,,,14.592274678111572,6.3,102.08999633789062,-0.055720798499133986
1980-06-30,69.0963863235689,97.98675,7190.289,-0.775068743967744,9.78,8.49,1.2899999999999991,,,,,2752.864,1.4559070672524044,11.15048249687085,48.9482,,,,14.265927977839322,7.6,114.23999786376953,0.11244673858223621
1980-09-30,70.1088336769823,99.59418,7181.743,-1.623745716089553,11.51,12.29,-0.7799999999999994,,,,,2815.092,2.260482174201117,9.687057272306454,49.5608,,,,12.768817204301076,7.5,125.45999908447266,0.09368549547945505
1980-12-31,68.85678613926,100.052,7315.677,-0.039051531488198954,12.84,13.86,-1.0199999999999996,,,,,2897.916,2.942141855399405,9.60783238366123,51.3708,,,,12.353706111833551,7.2,135.75999450683594,0.0789016050924211
1981-03-31,67.550666831284,99.71728,7459.022,1.6000011986558205,13.12,13.05,0.06999999999999851,,,,,2941.973,1.5202994151659155,8.425457735059116,51.0826,,,,10.611735330836458,7.4,136.0,0.001766305272398207
1981-06-30,67.5227966293503,99.08829,7403.745,2.9686706612209957,13.47,14.87,-1.3999999999999986,,,,,3037.361,3.2423139165451254,10.334582456670582,51.4101,,,,9.696969696969692,7.5,131.2100067138672,-0.03585574144956085
1981-09-30,67.4711427133165,98.20945,7492.405,4.325718700878034,15.32,16.64,-1.3200000000000003,,,,,3118.295,2.6646157634867995,10.77062490320031,51.4337,,,,10.96543504171632,7.6,116.18000030517578,-0.12165842909535503
1981-12-31,66.817123137701,97.22034,7410.768,1.2998250196119887,13.72,13.35,0.370000000000001,,,,,3188.017,2.235901349936409,10.010676637970173,49.8987,,,,8.912037037037024,8.5,122.55000305175781,0.053378419685129734
1982-03-31,66.6899379086403,96.42802,7295.631,-2.190515056799669,13.86,14.3,-0.4400000000000013,,,,,3234.264,1.4506509846089477,9.935203348229237,49.5323,,,,6.884875846501148,9.0,111.95999908447266,-0.0903774784062848
1982-06-30,66.1769135862632,96.27023,7328.912,-1.0107452377141501,14.3,14.34,-0.03999999999999915,,,,,3306.752,2.2412517963901424,8.869245374520851,48.6214,,,,7.182320441988943,9.6,109.61000061035156,-0.02121303967395599
1982-09-30,64.9828264549587,96.82629,7300.896,-2.5560417516138023,12.34,10.26,2.08,,,,,3354.121,1.4324932743671193,7.562658439948744,47.9008,,,,4.940923737916236,10.1,120.41999816894531,0.0940570000347071
1982-12-31,65.0464030061164,98.03652,7303.817,-1.4431837563933958,10.54,8.68,1.8599999999999994,,,,,3408.601,1.624270561497343,6.919160092308174,46.9485,,,,3.825717321997879,10.8,140.63999938964844,0.15521781276631985
1983-03-31,65.483575718885,99.84487,7400.066,1.4314731652409485,10.51,9.34,1.17,,,,,3449.914,1.2120221756668048,6.6676684401768105,47.9244,,,,3.5902851108764455,10.3,152.9600067138672,0.08397306359899843
1983-06-30,65.5345709656255,101.5127,7568.456,3.268479687025838,10.85,9.7,1.1500000000000004,,,,,3541.234,2.647022505488539,7.091006522412324,49.123,,,,2.4742268041237248,10.1,167.63999938964844,0.09164232621997359
1983-09-30,65.2719005382331,102.398,7719.746,5.736967079109201,11.65,9.89,1.7599999999999998,,,,,3638.934,2.7589252785893414,8.491434864752945,51.178,,,,2.763561924257929,9.2,166.07000732421875,-0.009409389094161186
1983-12-31,65.3049382414105,102.6285,7880.794,7.899663970222681,11.83,10.08,1.75,,,,,3758.761,3.29291490310073,10.272836275058307,52.0594,,,,3.7871033776867957,8.3,164.92999267578125,-0.00688833326984718
1984-03-31,65.4399251869815,102.2807,8034.847,8.578045114732769,12.32,10.8,1.5199999999999996,,,,,3862.041,2.74771394084381,11.946007929473023,53.5929,,,,4.892966360856277,7.8,159.17999267578125,-0.035485505686492995
1984-06-30,65.7891110102005,101.4188,8173.67,7.996531921438144,13.56,12.3,1.2599999999999998,,,,,4018.861,4.060547259855607,13.487586530570983,54.4014,,,,4.325955734406439,7.2,153.17999267578125,-0.03842193869853482
1984-09-30,66.0225822995856,100.6705,8252.465,6.900732226163919,12.52,11.43,1.0899999999999999,,,,,4142.505,3.0765930944115727,13.838420812248863,54.4466,,,,4.2828685258964105,7.3,166.10000610351562,0.0809764006982909
1984-12-31,66.5388900040464,100.3632,8320.199,5.575643773964911,11.5,9.22,2.2799999999999994,,,,,4303.374,3.8833749144539187,14.489162785290155,54.6416,,,,4.043392504930954,7.3,167.24000549316406,0.006839885969079059
1985-03-31,66.5691585780374,100.2146,8400.82,4.5548222635726665,11.86,9.49,2.369999999999999,,,,,4429.767,2.9370675195788287,14.700154659155595,54.8653,,,,3.790087463556846,7.2,180.66000366210938,0.07718689265806554
1985-06-30,67.0528476207862,100.1234,8474.787,3.683987731337335,10.16,7.71,2.45,,,,,4574.692,3.271616769008401,13.830560449838902,54.7989,,,,3.6644165863066513,7.4,191.85000610351562,0.06009701651453618
1985-09-30,67.8685882655256,100.0419,8604.22,4.262423409248006,10.37,7.99,2.379999999999999,,,,,4710.204,2.962210352084904,13.704244171099367,54.8906,,,,3.2473734479465,7.1,182.0800018310547,-0.05226768751267371
1985-12-31,68.5909420598761,100.0831,8668.188,4.182460058948112,9.26,7.6,1.6600000000000001,,,,,4907.862,4.196378755569841,14.04683859687772,55.4412,,,,3.791469194312791,7.0,211.27999877929688,0.14873810121693518
1986-03-31,69.2582904396872,100.1112,8749.127,4.146107165729074,7.78,6.72,1.0600000000000005,,,10.25,,4993.852,1.7520867538655338,12.73396546590373,54.9625,,,,2.1535580524344455,7.2,238.89999389648438,0.12286076657213052
1986-06-30,70.7934327017827,100.0456,8788.524,3.702004545954951,7.8,6.41,1.3899999999999997,,,12.8,0.2221674653411543,5140.532,2.9372115953776756,12.368920137137106,54.9005,,,,1.7674418604651132,7.2,250.83999633789062,0.048770242292084764
1986-09-30,71.8076135601134,99.89989,8872.601,3.1191787285773875,7.45,5.82,1.63,,,14.7,0.13840232285911894,5289.395,2.8958675872458484,12.296516244307053,55.2975,,,,1.757631822386685,7.0,231.32000732421875,-0.08101320612270654
1986-12-31,72.943594009103,99.96638,8920.193,2.9072396676214085,7.11,5.95,1.1600000000000001,,,17.93,0.19862779383235094,5467.403,3.3653754351868237,11.400911435570116,56.2845,,,,1.187214611872145,6.6,242.1699981689453,0.04583788635865004
1987-03-31,73.7007018947097,100.5551,8986.367,2.7115848244058993,7.25,6.15,1.0999999999999996,,,18.82,0.048444846540192,5531.896,1.1795911148309246,10.774127867626039,56.9098,,,,2.8414298808432603,6.6,291.70001220703125,0.18608596741019084
1987-06-30,74.3662853889895,101.0378,9083.256,3.353600672877488,8.4,6.77,1.6300000000000008,,,20.22,0.07175207943509176,5687.674,2.8159965407881904,10.643684350180106,57.9307,,,,3.7477148080438782,6.2,304.0,0.0413017826846509
1987-09-30,74.844095915908,100.9087,9162.024,3.2619859723208355,9.42,7.92,1.5,,,19.62,-0.030122759455108245,5818.903,2.3072524902095326,10.010747921076035,58.9951,,,,4.2727272727272725,5.9,321.8299865722656,0.056995712689723844
1987-12-31,75.0942115092048,100.4035,9319.332,4.474555651430423,8.99,7.1,1.8900000000000006,,,16.74,-0.1587483890758879,5955.134,2.3411801159084478,8.920706960873371,60.4095,,,,4.332129963898912,5.7,247.0800018310547,-0.26431123585747063
1988-03-31,75.737861841244,100.3532,9367.502,4.241257896544837,8.37,6.76,1.6099999999999994,,,17.09,0.020692432066170434,6073.339,1.9849259479299608,9.787656890151219,60.8501,,,,3.832442067736186,5.7,258.8900146484375,0.04669113940303854
1988-06-30,76.4912153142965,100.5569,9490.594,4.484493225777175,8.92,7.5,1.42,,,15.2,-0.11719806927526885,6243.692,2.8049315211945203,9.77584158304432,61.2569,,,,3.96475770925111,5.4,273.5,0.05489830422052237
1988-09-30,76.2824688510862,100.6229,9546.206,4.193200105129624,8.98,8.13,0.8499999999999996,,,13.33,-0.13127829366161337,6380.772,2.195495870071751,9.65592655522871,61.3807,,,,4.184829991281602,5.4,271.9100036621094,-0.005830479204530196
1988-12-31,76.5348049991484,100.5981,9673.405,3.799338836732069,9.11,9.02,0.08999999999999986,,,17.12,0.25023023652297877,6541.111,2.5128464079268165,9.83986254549436,62.0743,,,,4.4117647058823595,5.3,277.7200012207031,0.021142273623012343
1989-03-31,76.6013631056797,100.2807,9771.725,4.3151632099998505,9.36,9.64,-0.28000000000000114,,,20.27,0.16889458975031255,6653.533,1.7186988571207706,9.553130493786055,62.1369,,,,4.892703862660941,5.0,294.8699951171875,0.05992114840692535
1989-06-30,76.5472692485004,99.81056,9846.293,3.7479108262349126,8.28,8.12,0.16000000000000014,,,20.29,0.0009861933738147153,6815.652,2.4365851946627437,9.160605616036154,61.7697,,,,5.1694915254237195,5.3,317.9800109863281,0.0754539575834935
1989-09-30,77.7388736669238,99.70267,9919.228,3.9075419072247097,8.19,8.48,-0.2900000000000009,,,20.15,-0.006923865445031416,6928.31,1.6529306367167873,8.581061978080395,61.5796,,,,4.435146443514637,5.3,349.1499938964844,0.09351308954003697
1989-12-31,78.0569474930409,99.77112,9938.767,2.743211930028755,7.84,7.76,0.08000000000000007,,,21.84,0.0805388624840124,7065.938,1.9864584581232636,8.023514659818499,62.0428,,,,4.639602319801162,5.4,353.3999938964844,0.012098930803779733
1990-03-31,77.2043845162229,99.83444,10047.386,2.821006526483294,8.59,8.35,0.2400000000000002,,,20.34,-0.07115376025629037,7192.124,1.7858350865801453,8.094812184744548,62.5999,19.73,,,5.237315875613735,5.2,339.94000244140625,-0.038831403983674254
1990-06-30,76.4490582714173,99.30148,10083.855,2.412704964193124,8.48,8.05,0.4299999999999997,,,17.05,-0.17643918689088806,7303.613,1.5501540296023908,7.159417763700371,62.8382,15.5,-0.2413002961093231,,4.673650282030639,5.2,358.0199890136719,0.05181968144461254
1990-09-30,75.6005698784759,97.94902,10090.569,1.7273622503686914,8.89,7.69,1.2000000000000002,,,39.53,0.8409096735790683,7384.432,1.1065619166842344,6.583452530270728,62.9523,29.11,0.6302417338323308,,6.169871794871806,5.9,306.04998779296875,-0.15684037266435563
1990-12-31,74.4160516992853,97.12845,9998.704,0.6030627340393391,8.08,6.82,1.2599999999999998,,,28.48,-0.32785779076481913,7458.077,0.9973008079700696,5.549709040752981,61.3352,26.38,-0.09847561046836335,,6.254948535233562,6.3,330.2200012207031,0.076010655288986
1991-03-31,74.5810986520791,97.72621,9951.916,-0.9501973946258402,8.11,6.28,1.8299999999999992,,,19.63,-0.3721430782554055,7468.526,0.14010313918721984,3.843120613604545,60.3346,16.88,-0.44647665812135756,5.26,4.821150855365497,6.8,375.2200012207031,0.1277534211684422
